;Palavra;QTD
1;CACHACA;5076905
4;YPIOCA;3046143
5;ZZZZZAUTOM.OLEO;2030762
6;UND;2030762
7;1L;2030762
8;SAE40;2030762
9;ZZZZZBORRACHA;2030762
10;LUB.TEXXCO;2030762
11;CXA;2030762
12;PANELA;2030762
13;TOK;2030762
14;MULTI;2030762
15;USO;2030762
17;FDO;1015381
18;LENGTH:;1015381
19;GF;1015381
20;SAO;1015381
21;FRANCISCO;1015381
22;PURA;1015381
23;BB;1015381
24;...;1015381
28;3UND;1015381
32;12X970M;1015381
33;(12);1015381
34;DTYPE:;1015381
36;EMP.OURO;1015381
37;POL.;1015381
38;10...;1015381
40;MOTOSERRA;1015381
41;OURO;1015381
42;1015381,;1015381
46;PRATA;1015381
50;OBJECT;1015381
51;DESC_CATALOGO,;1015381
53;1UND;1015381
54;SAGATIBA;1015381
56;NAME:;1015381
58;ZZZZZLIMA;1015381
